,ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HH,TIPO_DE_CALLE,XY (CABA),pos x,pos y,VICTIMA,ACUSADO
477,2019-0061,1,2019-07-17,2019,7,17,18,CALLE,Point (101036.85652575 107926.87651681),-58.45200171,-34.5578132,PEATON,PASAJEROS
478,2019-0062,1,2019-08-01,2019,8,1,23,AVENIDA,Point (101714.11981913 107461.10208167),-58.44462132,-34.56201105,PEATON,PASAJEROS
479,2019-0063,1,2019-08-04,2019,8,4,1,AVENIDA,Point (101017.68913992 104676.11449993),-58.45220688,-34.58711712,MOTO,PASAJEROS
480,2019-0064,1,2019-08-06,2019,8,6,3,AVENIDA,Point (100337.26455822 100756.41076314),-58.4596221,-34.6224514,MOTO,AUTO
481,2019-0065,1,2019-08-08,2019,8,8,16,CALLE,Point (103996.06089673 97239.27066069),-58.4197085,-34.65414867,PEATON,PASAJEROS
482,2019-0066,1,2019-08-11,2019,8,11,21,AVENIDA,Point (101964.06573044 97768.88820027),-58.44187596,-34.64938031,PEATON,AUTO
483,2019-0067,1,2019-08-14,2019,8,14,15,CALLE,Point (97458.87181153 98502.45008355),-58.49101637,-34.64276621,MOTO,CARGAS
484,2019-0068,1,2019-08-14,2019,8,14,17,AVENIDA,Point (103516.29283702 96305.80102228),-58.42493829,-34.66256502,MOTO,MOTO
485,2019-0069,1,2019-08-17,2019,8,17,5,AVENIDA,Point (105355.77079994 99994.97457130),-58.40489318,-34.62930162,MOTO,AUTO
486,2019-0070,1,2019-08-22,2019,8,22,12,AVENIDA,Point (103342.29763549 104114.07863350),-58.4268668,-34.59217875,MOTO,BICICLETA
487,2019-0071,1,2019-08-27,2019,8,27,11,AVENIDA,Point (98504.80160700 97011.97752137),-58.479611,-34.65620398,PEATON,CARGAS
488,2019-0072,1,2019-08-28,2019,8,28,6,AVENIDA,Point (98982.27543524 99337.43508034),-58.47439934,-34.63524207,AUTO,AUTO
489,2019-0073,1,2019-08-29,2019,8,29,1,AVENIDA,Point (99649.53744486 105547.74929043),-58.46711912,-34.57926018,AUTO,OBJETO FIJO
490,2019-0074,1,2019-08-29,2019,8,29,9,AUTOPISTA,Point (99830.29053639 110496.05308488),-58.46514781,-34.53465378,MOTO,CARGAS
491,2019-0075,1,2019-08-30,2019,8,30,23,CALLE,Point (108029.19662631 97048.95529785),-58.37571078,-34.65584079,MOTO,PASAJEROS
492,2019-0076,1,2019-09-05,2019,9,5,18,AUTOPISTA,Point (108408.31866027 97219.56223456),-58.37157668,-34.65429986,MOTO,CARGAS
